29,33,38
33,27,40
40,22,38
41,22,37
39,22,39
39,16,45
41,15,44
46,7,47
45,7,48
44,11,45
43,16,41
41,17,42
41,13,46
39,17,44
41,16,43
44,12,44
43,11,46
44,8,48
44,8,48
45,6,49
47,4,49
47,5,48
47,6,47
47,5,48
47,6,47
47,5,48
47,5,48
47,5,48
47,5,48
47,5,48
47,7,46
47,6,47
47,6,47
47,6,47
47,6,47
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
47,7,46
31,29,40
34,29,37
42,20,38
41,25,34
40,23,37
42,19,39
40,22,38
38,19,43
37,19,44
38,16,46
36,16,48
36,14,50
37,11,52
38,10,52
39,9,52
39,9,52
38,10,52
39,9,52
39,8,53
39,8,53
39,7,54
40,5,55
43,3,54
40,5,55
42,3,55
41,4,55
42,3,55
38,7,55
37,7,56
38,5,57
37,6,57
37,6,57
39,4,57
38,4,58
38,6,56
39,5,56
38,7,55
37,9,54
